"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3287","deve falhar ao tentar cadastrar com campo confirmar senha diferente","Cadastro inválido","Wed Oct 09 09:08:18 BRT 2024","passed","Wed Oct 09 09:08:21 BRT 2024","","","",""
"","3357","deve falhar ao tentar cadastrar com campo nome vazio","Cadastro inválido","Wed Oct 09 09:07:20 BRT 2024","passed","Wed Oct 09 09:07:23 BRT 2024","","","",""
"","3034","deve falhar ao tentar cadastrar um email que já está cadastrado","Cadastro inválido","Wed Oct 09 09:07:56 BRT 2024","passed","Wed Oct 09 09:07:59 BRT 2024","","","",""
"","3205","deve falhar ao tentar cadastrar um cpf que já está cadastrado","Cadastro inválido","Wed Oct 09 09:07:45 BRT 2024","passed","Wed Oct 09 09:07:48 BRT 2024","","","",""
"","3097","deve falhar ao tentar cadastrar com campo confirmar email vazio","Cadastro inválido","Wed Oct 09 09:08:00 BRT 2024","passed","Wed Oct 09 09:08:03 BRT 2024","","","",""
"","2986","deve falhar ao tentar cadastrar com campo data de nascimento vazio","Cadastro inválido","Wed Oct 09 09:07:28 BRT 2024","passed","Wed Oct 09 09:07:31 BRT 2024","","","",""
"","3046","deve falhar ao tentar cadastrar com campo sobrenome vazio","Cadastro inválido","Wed Oct 09 09:07:24 BRT 2024","passed","Wed Oct 09 09:07:27 BRT 2024","","","",""
"","3211","deve falhar ao tentar cadastrar um cpf invalido","Cadastro inválido","Wed Oct 09 09:07:40 BRT 2024","passed","Wed Oct 09 09:07:44 BRT 2024","","","",""
"","5950","deve cadastrar com sucesso com dados válidos","Cadastro","Wed Oct 09 09:07:07 BRT 2024","passed","Wed Oct 09 09:07:13 BRT 2024","","","",""
"","3522","deve falhar ao tentar cadastrar com casa vazio","Cadastro inválido","Wed Oct 09 09:08:30 BRT 2024","passed","Wed Oct 09 09:08:34 BRT 2024","","","",""
"","4709","deve falhar ao tentar cadastrar com campo confirmar email diferente do email informado","Cadastro inválido","Wed Oct 09 09:08:04 BRT 2024","passed","Wed Oct 09 09:08:09 BRT 2024","","","",""
"","2330","deve falhar ao tentar cadastrar com campo email vazio","Cadastro inválido","Wed Oct 09 09:07:49 BRT 2024","passed","Wed Oct 09 09:07:51 BRT 2024","","","",""
"","2884","deve falhar ao tentar cadastrar com campo email invalido","Cadastro inválido","Wed Oct 09 09:07:52 BRT 2024","passed","Wed Oct 09 09:07:55 BRT 2024","","","",""
"","2853","deve falhar ao tentar cadastrar com campo senha vazio","Cadastro inválido","Wed Oct 09 09:08:10 BRT 2024","passed","Wed Oct 09 09:08:13 BRT 2024","","","",""
"","2956","deve falhar ao tentar cadastrar com campo cpf vazio","Cadastro inválido","Wed Oct 09 09:07:36 BRT 2024","passed","Wed Oct 09 09:07:39 BRT 2024","","","",""
"","3461","deve falhar ao tentar cadastrar com cep vazio","Cadastro inválido","Wed Oct 09 09:08:26 BRT 2024","passed","Wed Oct 09 09:08:29 BRT 2024","","","",""
"","3014","deve falhar ao tentar cadastrar com campo confirmar senha vazio","Cadastro inválido","Wed Oct 09 09:08:14 BRT 2024","passed","Wed Oct 09 09:08:17 BRT 2024","","","",""
"","3242","deve falhar ao tentar cadastrar com campo data de nascimento invalida","Cadastro inválido","Wed Oct 09 09:07:32 BRT 2024","passed","Wed Oct 09 09:07:35 BRT 2024","","","",""
"","3012","deve falhar ao tentar cadastrar com campo de termos desmarcado","Cadastro inválido","Wed Oct 09 09:08:22 BRT 2024","passed","Wed Oct 09 09:08:25 BRT 2024","","","",""
